Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude,nearest_station,اسم المحطة,geometry,neighborhood,English_name,Final Station,Path
طول النهار,restaurant,34.0,4.8,46.7029868,24.7108997,As Sulimaniyah,السليمانية,POINT (46.7029868 24.7108997),حي الملك عبدالعزيز,Toul Al Nahar,السليمانية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة السليمانية.
شاورما وعصيرات حصّة,restaurant,12.0,3.4,46.6545894,24.6084793,Dhahrat Al Badiah,ظهره البديعة,POINT (46.6545894 24.6084793),حي البديعة,,,
الأمل للوجبات السريعة,restaurant,48.0,3.2,46.729924,24.645794,As Salhiyah,الصالحية,POINT (46.729924 24.645794),حي ثليم,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
ভাই বন্ধু রেষ্টুরেন্টে,restaurant,38.0,4.7,46.7911409,24.7576722,Al Andalus,الأندلس,POINT (46.7911409 24.7576722),حي النهضة,,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.
,restaurant,31.0,5.0,46.8051766,24.7239337,As Salam,السلام,POINT (46.8051766 24.7239337),حي المنار,LAND OF SPICE RESTAURANT NEPALI INDIAN FOOD,السلام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة السلام.
ساين برجر,restaurant,5166.0,4.6,46.7794153,24.6728139,Al Rajhi Grand Mosque,جامع الراجحي,POINT (46.7794153 24.6728139),حي الفاروق,Sign Burger,جامع الراجحي,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة جامع الراجحي.
مطعم ليالي صنعاء,restaurant,5.0,4.2,46.7181121,24.6627576,King Abdulaziz Hospital,مستشفى الملك عبدالعزيز,POINT (46.7181121 24.6627576),حي الملز,,مستشفى الملك عبدالعزيز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة مستشفى الملك عبدالعزيز.
,meal_takeaway,2090.0,3.8,46.6972128,24.7979991,Uthman Bin Affan Rd.,طريق عثمان بن عفان,POINT (46.6972128 24.7979991),حي الفلاح,Shawarmer,طريق عثمان بن عفان,اركب المترو من المحطة الحالية، وأخرج عند محطة عثمان بن عفان.
مطعم نفر كبدة,restaurant,861.0,4.1,46.6945047,24.675728,Ministry of Interior,وزارة الداخلية,POINT (46.6945047 24.675728),حي المؤتمرات,,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.
فول و فلافل وارب,restaurant,126.0,3.5,46.7225934,24.6698019,Ministry of Defence,وزارة الدفاع,POINT (46.7225934 24.6698019),حي الملز,,وزارة الدفاع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة الدفاع.
,cafe,1107.0,4.4,46.6198723,24.8084339,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.6198723 24.8084339),حي الصحافة,CHICA Lounge By Le Comptoir,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.
أسماك العشرين,restaurant,511.0,4.1,46.7233159,24.6055894,Manfouhah,منفوحة,POINT (46.7233159 24.6055894),حي اليمامة,,منفوحة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة منفوحة.
,cafe,1539.0,3.8,46.6803389,24.7341698,Al Wurud,الورود,POINT (46.6803389 24.7341698),حي الورود,Ophelia,الورود,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة الورود.
,restaurant,5.0,4.2,46.7157337,24.6393085,Al Bat’ha,البطحاء,POINT (46.7157337 24.6393085),حي الفوطة,Luluah Al Madina Restaurant,البطحاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة البطحاء.
,restaurant,865.0,4.0,46.6929453,24.8058548,Uthman Bin Affan Rd.,طريق عثمان بن عفان,POINT (46.6929453 24.8058548),جامعة الامام محمد بن سعود الاسلامية,Oregano Pizzeria,طريق عثمان بن عفان,اركب المترو من المحطة الحالية، وأخرج عند محطة عثمان بن عفان.
مطعم سلامة,restaurant,74.0,3.7,46.7246485,24.6194976,Skirinah,سكيرينة,POINT (46.7246485 24.6194976),حي البطيحا,,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.
,store,18.0,3.7,46.6645273,24.7235941,stc,stc,POINT (46.6645273 24.7235941),حي الرحمانية,Khafif,stc,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة stc.
,restaurant,29.0,4.0,46.7103746,24.9414374,Airport  T5,الصالة 5,POINT (46.7103746 24.9414374),مطار الملك خالد,Maqloba,الصالة 5,اركب المترو من المحطة الحالية، وأخرج عند محطة الصالة 5.
,restaurant,67.0,4.3,46.724125,24.6396681,Al Margab,المرقب,POINT (46.724125 24.6396681),حي ثليم,Welcome Cafe,المرقب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة المرقب.
,restaurant,24.0,4.0,46.7306923,24.7805893,Granadia,غرناطيّة,POINT (46.7306923 24.7805893),حي الشهداء,Saj Express,,
,restaurant,220.0,4.0,46.7129013,24.6667926,Ministry of Defence,وزارة الدفاع,POINT (46.7129013 24.6667926),حي الوزارات,Peshawar Amber Restaurent,وزارة الدفاع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة الدفاع.
بوفية أكلات شعبية,restaurant,10.0,4.8,46.7409833,24.639466,First Industrial City,المدينة الصناعية الأولى,POINT (46.7409833 24.639466),حي الصناعية,,,
,cafe,140.0,3.8,46.6587359,24.7565704,Al Murooj,المروج,POINT (46.6587359 24.7565704),حي النخيل,Barn's,المروج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المروج.
جادة الشام,restaurant,19.0,4.7,46.7689987,24.7868368,Al Yarmuk,اليرموك,POINT (46.7689987 24.7868368),حي اشبيلية,,اليرموك,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة اليرموك.
مطعم زاد الفطيرة,meal_takeaway,78.0,3.6,46.6608641,24.7578714,Al Murooj,المروج,POINT (46.6608641 24.7578714),حي النخيل,,المروج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المروج.
,restaurant,280.0,4.9,46.6776448,24.7324834,Al Wurud,الورود,POINT (46.6776448 24.7324834),حي الورود,smkna seafood,الورود,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة الورود.
,restaurant,334.0,4.4,46.7786231,24.7739958,Al Hamra,الحمراء,POINT (46.7786231 24.7739958),حي الحمراء,Abo Faisal,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.
,restaurant,7.0,4.7,46.6950746,24.6219358,Al Jarradiyah,الجرادية,POINT (46.6950746 24.6219358),حي الشميسي,TIGA BERLIAN RESTAURANT,الجرادية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة الجرادية.
ثمر الفلافل الشامية,restaurant,68.0,4.1,46.723332,24.6091557,Manfouhah,منفوحة,POINT (46.723332 24.6091557),حي منفوحة الجديدة,,منفوحة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة منفوحة.
,restaurant,194.0,4.0,46.7517879,24.6041668,Transportation Center,مركز النقل العام,POINT (46.7517879 24.6041668),حي المنصورة,Ahmad Saeed Restaurant,مركز النقل العام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مركز النقل العام.
مطعم ورده الخرطوم,restaurant,48.0,4.0,46.7162598,24.6250015,Qasr Al Hokm,قصر الحكم,POINT (46.7162598 24.6250015),حي القرى,,قصر الحكم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة قصر الحكم.
,restaurant,185.0,4.1,46.6840169,24.686918,King Fahd Library,مكتبة الملك فهد,POINT (46.6840169 24.686918),حي العليا,Lorenzo Pizza,مكتبة الملك فهد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة مكتبة الملك فهد.
&,restaurant,220.0,4.6,46.6260521,24.8089122,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.6260521 24.8089122),حي الصحافة,Sage Sirloin Lounge,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.
365,restaurant,165.0,4.6,46.7181774,24.8082179,SABIC,سابك,POINT (46.7181774 24.8082179),حي الفلاح,The,سابك,اركب المترو من المحطة الحالية، وأخرج عند محطة سابك.
বন্ধু রেস্টুরেন্ট مطاعم,restaurant,7.0,3.9,46.7914967,24.7578802,Al Andalus,الأندلس,POINT (46.7914967 24.7578802),حي النهضة,Restaurant,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.
,restaurant,706.0,4.0,46.7118338,24.6819976,GOSI,التأمينات الاجتماعية,POINT (46.7118338 24.6819976),حي الوزارات,roll khi,,
شاورما أصيلة,restaurant,347.0,4.2,46.6389397,24.5978462,Aishah bint Abi Bakr st.,شارع عائشة بنت ابي بكر,POINT (46.6389397 24.5978462),حي البديعة,Asilah shawarma,,
,restaurant,196.0,4.4,46.7600573,24.7677244,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.7600573 24.7677244),حي الحمراء,KFC,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.
,restaurant,1756.0,3.9,46.7042661,24.7054398,Ad Dhabab,الضباب,POINT (46.7042661 24.7054398),حي الملك عبدالعزيز,BOGA Superfood,الضباب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة الضباب.
بوفية محمد مساعد العرياني,restaurant,7.0,4.0,46.7332609,24.6335257,As Salhiyah,الصالحية,POINT (46.7332609 24.6335257),حي الصالحية,,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
فول و فول مطعم,restaurant,4.0,4.3,46.713037,24.6284477,Courts Complex,مجمع المحاكم,POINT (46.713037 24.6284477),حي القرى,,مجمع المحاكم,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة مجمع المحاكم.
,restaurant,708.0,4.2,46.6835542,24.6978109,Bank Al Bilad,بنك البلاد,POINT (46.6835542 24.6978109),حي العليا,Yokari,بنك البلاد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة بنك البلاد.
,restaurant,390.0,4.0,46.7063617,24.6726137,Al Muorabba,المربع,POINT (46.7063617 24.6726137),حي الوزارات,AL Hayat Restaurant,المربع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المربع.
,restaurant,54.0,3.6,46.7232206,24.7619441,Riyadh Exhibition Center,مركز الرياض للمعارض,POINT (46.7232206 24.7619441),حي المغرزات,Slider Corner,مركز الرياض للمعارض,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة مركز الرياض للمعارض.
شيخ البيتزا,meal_takeaway,7.0,4.7,46.6937016,24.6761621,Ministry of Interior,وزارة الداخلية,POINT (46.6937016 24.6761621),حي المؤتمرات,,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.
ماكدونالدز,restaurant,55.0,2.0,46.6959054,24.6823621,Ministry of Interior,وزارة الداخلية,POINT (46.6959054 24.6823621),حي الوزارات,,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.
,restaurant,16.0,3.9,46.737142,24.666206,Al Malaz,الملز,POINT (46.737142 24.666206),حي الملز,Burger King King Abdullah Park,الملز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الملز.
كوك توك,restaurant,293.0,4.8,46.7008369,24.6731752,Ministry of Interior,وزارة الداخلية,POINT (46.7008369 24.6731752),حي الوزارات,Cook tok,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.
,restaurant,1944.0,4.0,46.717226,24.6400018,Al Bat’ha,البطحاء,POINT (46.717226 24.6400018),حي الفوطة,Classic Indian Restaurant,البطحاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة البطحاء.
,restaurant,18.0,4.1,46.7196591,24.6353323,Al Hilla,الحلة,POINT (46.7196591 24.6353323),حي ثليم,U P Restaurant,,
مطعم العائله الشامية,restaurant,405.0,3.7,46.6802702,24.7265493,Al Wurud,الورود,POINT (46.6802702 24.7265493),حي الورود,,الورود,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة الورود.
,restaurant,41.0,4.3,46.8054276,24.7934048,Ishbiliyah,اشبيليا,POINT (46.8054276 24.7934048),حي اليرموك,City Fresh Kitchen,اشبيليا,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة اشبيليا.
شاورما حمدان,restaurant,989.0,4.7,46.7091065,24.7553644,An Nuzhah,النزهة,POINT (46.7091065 24.7553644),حي النزهة,Shawarma Hamdan,النزهة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة النزهة.
,restaurant,2893.0,3.5,46.6680503,24.7299877,stc,stc,POINT (46.6680503 24.7299877),حي الورود,Al Bahsaly Palace Restaurant,stc,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة stc.
خذلك فلافل,restaurant,11.0,4.3,46.7072772,24.6514691,Ministry of Finance,وزارة المالية,POINT (46.7072772 24.6514691),حي الوشام,,وزارة المالية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة المالية.
,restaurant,395.0,4.0,46.7108733,24.6924195,Officers Club,نادي الضباط,POINT (46.7108733 24.6924195),حي الملك عبدالعزيز,Falafel Liver and Bean,نادي الضباط,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة نادي الضباط.
بيتزا ترف,restaurant,156.0,4.1,46.7579319,24.5824168,Al Aziziah,العزيزية,POINT (46.7579319 24.5824168),حي العزيزية,,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.
شواية الشروق,restaurant,1059.0,4.1,46.7748905,24.5619368,Ad Dar Al Baida,الدار البيضاء,POINT (46.7748905 24.5619368),حي الدار البيضاء,,الدار البيضاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الدار البيضاء.
نقانش,restaurant,6.0,5.0,46.729187,24.6169582,Skirinah,سكيرينة,POINT (46.729187 24.6169582),حي منفوحة الجديدة,,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.
مطعم الريف السوداني,restaurant,40.0,4.4,46.7297941,24.6170589,Skirinah,سكيرينة,POINT (46.7297941 24.6170589),حي غبيرة,,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.
,restaurant,1636.0,3.5,46.7303205,24.7872952,Granadia,غرناطيّة,POINT (46.7303205 24.7872952),حي الشهداء,Sweet Date,,
,restaurant,150.0,3.7,46.7123175,24.66861,Ministry of Defence,وزارة الدفاع,POINT (46.7123175 24.66861),حي الوزارات,Mirzas Fast Food,وزارة الدفاع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة الدفاع.
مطعم هوا الشام,restaurant,42.0,5.0,46.7042439,24.7955166,Uthman Bin Affan Rd.,طريق عثمان بن عفان,POINT (46.7042439 24.7955166),حي الفلاح,,طريق عثمان بن عفان,اركب المترو من المحطة الحالية، وأخرج عند محطة عثمان بن عفان.
,restaurant,9.0,4.6,46.7209681,24.6342434,Al Hilla,الحلة,POINT (46.7209681 24.6342434),حي العود,Green chilly kerala indian restaurant,,
,cafe,136.0,4.0,46.6950551,24.73597,Ministry of Education,وزاره التعليم,POINT (46.6950551 24.73597),حي المرسلات,RAW SIP,,
شباتي مع كرك,restaurant,532.0,3.6,46.6677855,24.7385176,King Fahd District 2,حي الملك فهد 2,POINT (46.6677855 24.7385176),حي الورود,,حي الملك فهد 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد 2.
مزة عنب لاونج وكافيه,cafe,343.0,4.1,46.70176,24.6714828,Al Muorabba,المربع,POINT (46.70176 24.6714828),حي الوزارات,,المربع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المربع.
牛排,restaurant,5.0,4.0,46.6965356,24.7152197,As Sulimaniyah,السليمانية,POINT (46.6965356 24.7152197),مدينة الملك عبدالله للطاقة,,السليمانية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة السليمانية.
,restaurant,276.0,3.7,46.7618128,24.5870641,Al Aziziah,العزيزية,POINT (46.7618128 24.5870641),حي العزيزية,Pizza Hut,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.
شارع منقوشه,restaurant,6.0,3.5,46.7045264,24.9586713,Airport  T3-4,الصالة 3-4,POINT (46.7045264 24.9586713),مطار الملك خالد,,الصالة 3-4,اركب المترو من المحطة الحالية، وأخرج عند محطة الصالة 3-4.
,restaurant,8.0,4.8,46.7292877,24.640178,As Salhiyah,الصالحية,POINT (46.7292877 24.640178),حي ثليم,Probashi Sweets and Restaurant,الصالحية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة الصالحية.
وجبات السريعة بشاورى جيلي كباب,restaurant,29.0,3.8,46.7103909,24.6787836,Al Wizarat,الوزارات,POINT (46.7103909 24.6787836),حي الوزارات,,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات
مطبخ أم سليمان,restaurant,10.0,4.9,46.6642234,24.7332571,King Fahd District 2,حي الملك فهد 2,POINT (46.6642234 24.7332571),حي الملك فيصل,,حي الملك فهد 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد 2.
يوفية ليلى أحمد نجعي,restaurant,5.0,4.0,46.6726593,24.7132995,Al Urubah,العروبة,POINT (46.6726593 24.7132995),حي الجزيرة,,العروبة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العروبة.
مطعم السمك طازجه,restaurant,8.0,4.5,46.776536,24.557261,Ad Dar Al Baida,الدار البيضاء,POINT (46.776536 24.557261),حي الدار البيضاء,,الدار البيضاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الدار البيضاء.
فوال الهناء للاكلات الشعبيه,restaurant,25.0,4.5,46.7213267,24.6982657,Officers Club,نادي الضباط,POINT (46.7213267 24.6982657),حي الملك عبدالعزيز,,نادي الضباط,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة نادي الضباط.
,restaurant,991.0,4.1,46.7662792,24.7903987,Al Yarmuk,اليرموك,POINT (46.7662792 24.7903987),حي اشبيلية,kudu Hamra,اليرموك,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة اليرموك.
,restaurant,1396.0,4.3,46.7947114,24.6861812,Harun Ar Rashid Road,طريق هارون الرشيد,POINT (46.7947114 24.6861812),حي الروابي,Pizzaratti,طريق هارون الرشيد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة طريق هارون الرشيد.
بيت العضلات,restaurant,112.0,5.0,46.7327806,24.6044266,Al Iman Hospital,مستشفى الايمان,POINT (46.7327806 24.6044266),حي منفوحة,Muscle House,,
,restaurant,1275.0,3.9,46.7091862,24.6746439,Al Wizarat,الوزارات,POINT (46.7091862 24.6746439),حي الوزارات,Garden Fast Food,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات
,restaurant,2560.0,4.2,46.7575154,24.7689981,Khalid Bin Alwaleed Road,طريق خالد بن الوليد,POINT (46.7575154 24.7689981),حي الحمراء,Abu Al hous Kunafa,طريق خالد بن الوليد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة طريق خالد بن الوليد.
,restaurant,3024.0,4.1,46.764279,24.7899404,Al Yarmuk,اليرموك,POINT (46.764279 24.7899404),حي اشبيلية,Madghout Baytna,اليرموك,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة اليرموك.
,meal_delivery,471.0,3.6,46.7910482,24.6835863,Harun Ar Rashid Road,طريق هارون الرشيد,POINT (46.7910482 24.6835863),حي الروابي,Pizza Imm,طريق هارون الرشيد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة طريق هارون الرشيد.
,cafe,1012.0,4.1,46.6590289,24.7898006,Ar Rabi,الربيع,POINT (46.6590289 24.7898006),حي الربيع,Mazagan Lounge,الربيع,اركب المترو من المحطة الحالية، وأخرج عند محطة الربيع.
,meal_delivery,591.0,3.9,46.6999,24.7927896,Uthman Bin Affan Rd.,طريق عثمان بن عفان,POINT (46.6999 24.7927896),حي الفلاح,Domino's Pizza,طريق عثمان بن عفان,اركب المترو من المحطة الحالية، وأخرج عند محطة عثمان بن عفان.
,restaurant,1.0,5.0,46.7102835,24.6595719,Passport Department,الجوازات,POINT (46.7102835 24.6595719),حي المربع,Hero Delights,الجوازات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الجوازات.
,bakery,954.0,4.4,46.7085826,24.734175,King Salman Park,حديقة الملك سلمان,POINT (46.7085826 24.734175),حي صلاح الدين,Framboise and Olive,حديقة الملك سلمان,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة حديقة الملك سلمان.
مطعم كبسة البركة البخاري,restaurant,445.0,4.2,46.7275093,24.6787176,Al Wizarat,الوزارات,POINT (46.7275093 24.6787176),حي الضباط,,الوزارات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة الوزارات
الدمشقية للفلافل,restaurant,57.0,3.9,46.6794141,24.7206628,Al Wurud 2,الورود 2,POINT (46.6794141 24.7206628),حي الجزيرة,,الورود 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الورود 2.
